From_1_to_A	0	1	2	3	4	5	6	7	8	9
0	-0.0616	0.0101	0.0018	-0.0033	0.0058	-0.0023	0.0082	0.0067	-0.0012	0.0057
1	-0.0140	-0.0622	-0.0034	-0.0010	-0.0013	-0.0008	0.0066	-0.0031	0.0029	0.0092
2	-0.0008	0.0046	-0.0619	-0.0055	-0.0112	-0.0081	-0.0001	0.0035	-0.0023	0.0004
3	0.0108	0.0050	0.0018	-0.0628	-0.0079	-0.0057	-0.0036	0.0065	-0.0012	0.0050
4	-0.0047	-0.0013	-0.0092	-0.0016	-0.0618	0.0061	-0.0042	0.0007	0.0020	-0.0077
5	0.0078	-0.0031	0.0058	0.0013	-0.0102	-0.0620	0.0092	0.0053	0.0067	0.0018
6	0.0085	-0.0001	-0.0080	0.0019	-0.0059	0.0031	-0.0633	-0.0017	0.0035	-0.0013
7	0.0088	-0.0059	-0.0013	-0.0088	0.0108	-0.0001	-0.0038	-0.0607	0.0051	-0.0094
8	0.0078	-0.0036	0.0050	0.0051	-0.0038	-0.0042	0.0062	0.0048	-0.0611	-0.0022
9	0.0034	-0.0053	-0.0050	-0.0062	0.0101	-0.0041	-0.0020	0.0009	-0.0045	-0.0595
